Player name,Guild,Discord name,,,,,,,,,,,,,,,,,,,,,Guild,public?,Player name,Score Rank,Avg Score,NM Clears,VH Clears,W4 Clears,W3 Clears,H Clears,Misses,Best Phase,Best Score,Worst Phase,Worst Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M. No Aff,R. Quincy,M/R Human,R. Soul Reaper,M. Soul Reaper,M. Espada,R. Captain,R. Arrancar,M. Quincy,R. Espada,M. Captain,M. Hollow,R. SZ,R. Hollow,M/R Sternritter,R. No Aff,M. Arrancar,M. Squad Zero,,,,,,(need to sort avg score first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3 Score,"303,197,700","300,473,400","163,809,700","165,303,499","166,552,300","164,009,900","164,723,100","165,616,100","303,306,400","301,444,100","166,448,000","166,261,200","165,427,700","165,408,800","166,600,600","166,068,200","302,835,700","301,228,600",#NUM!,#NUM!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 Score holder,@kayers.j,@kayers.j,@shidekix,@aizenbanka1,@kocejam,@unseer,@Stunna,@9chrispy6,@kocejam,@shidekix,@.selyan,@bazraeth,@pat7res,@captain_zoro_,@kimetsyaiba,@pat7res,@kayers.j,@9chrispy6,#NUM!,#NUM!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#4 Score,"302,666,000","300,363,100","163,513,800","165,172,300","166,509,500","163,602,500","164,671,400","165,511,600","303,135,100","301,419,400","166,236,400","166,235,000","165,378,900","165,382,200","166,544,800","165,968,700","302,506,400","300,971,899",#NUM!,#NUM!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5 Score holder,@pat7res,@unseer,@captain_zoro_,@nawt0k,@kimetsyaiba,@captain_zoro_,@pat7res,@kimetsyaiba,@kimetsyaiba,@Stunna,@captain_zoro_,@pat7res,@nawt0k,@nawt0k,@nour.db,@bazraeth,@captain_zoro_,@kayers.j,#NUM!,#NUM!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5 Score,"302,466,300","300,123,800","163,513,800","165,085,799","165,975,600","163,602,500","164,658,400","165,336,500","302,646,800","301,444,100","165,975,200","166,187,900","165,378,900","165,382,200","166,024,800","165,968,700","302,599,900","300,971,899",#NUM!,#NUM!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Posting stats,,Announcements post,info for ranked individual stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chart of avg score + best score + who got best / phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GQ screen posts,"graph with each member's scores, only post if public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
